Inserting:
855800,1
21500,9
1100,9
1400,17
4000,34
1100,17
1200,17
1400,25
1400,25
1300,25
2300,42
4200,42
1600,25
2800,49
3400,33
1700,33
3000,57
1700,33
5400,57
1800,33
1600,33
1700,33
2600,50
2100,41
4500,50
2100,41
2600,50
3900,58
2400,33
5700,50
2100,41
3100,57
2100,41
3800,41
3100,65
2800,50
1900,41
3000,50
1800,41
2700,41
2500,58
2000,49
1700,41
2300,58
1900,49
2600,65
2300,58
2300,49
2200,49
1700,41
2000,49
1900,49
1700,41
1800,49
1700,41
2200,50
3400,65
2000,49
2400,58
2300,58
1800,41
1900,49
1600,41
2600,66
1800,49
1700,41
2600,66
57700,66
3300,66
2000,49
4000,49
3200,73
3000,73
2800,73
1900,49
2700,66
2200,49
5700,49
2800,66
3000,73
3000,73
6600,73
3000,73
1900,49
2300,49
2900,73
1900,49
2700,66
2200,57
1900,49
2600,66
3300,73
2800,65
2300,57
2000,49
5500,73
18600,66
2900,66
1600,49
2000,57
1500,49
1800,57
1500,49
2100,57
1500,49
1700,57
2600,73
1600,49
2600,81
1700,57
1800,57
2300,74
2600,81
1700,49
2900,81
2900,81
2200,66
2400,73
2100,66
2400,73
1700,57
2300,74
1800,57
2000,57
2500,73
1800,57
2600,73
2400,57
1700,57
1700,57
2200,66
2900,81
2900,81
1800,57
2200,57
2300,74
10400,57
8500,81
1500,57
4900,74
1500,57
1500,57
1600,49
8300,81
1900,74
1900,66
1700,66
1900,74
1600,65
1400,57
1900,66
2000,74
2000,74
1500,57
1900,66
1500,57
2300,65
1000,57
1100,57
1000,57
1200,74
1000,57
1600,89
800,49
1300,82
800,49
1400,81
1300,57
1200,74
1300,81
900,65
1300,89
1000,65
1800,89
1500,74
1200,74
1700,81
1000,65
5500,81
1100,57
700,65
800,57
900,65
800,82
800,81
6300,74
800,65
400,65
700,74
900,74
1000,81
500,65
2600,81
400,57
700,74
700,57
800,81
1000,65
600,65
400,65
400,57
1100,81
1100,89
600,74
300,65
800,81
400,49
400,65
300,65
600,81
400,73
400,57
900,89
700,81
1100,89
700,57
700,82
700,81
600,82
400,73
700,74
700,66
300,49
700,74
700,82
600,81
400,57
400,57
700,73
400,65
400,65
600,57
300,57
700,73
400,65
1100,82
800,74
400,57
400,65
400,65
800,89
800,82
400,65
900,89
400,73
600,74
400,65
400,65
400,65
400,65
400,65
400,73
800,89
400,73
1000,89
800,57
800,82
600,74
400,73
700,89
600,74
700,74
1000,81
800,65
1000,81
900,89
400,73
400,65
500,65
400,65
400,73
600,74
400,73
400,65
400,65
400,73
300,49
400,73
600,97
600,74
600,90
600,82
400,65
400,65
300,49
700,97
800,89
600,82
700,73
500,82
700,97
400,65
700,89
400,65
400,65
700,97
400,65
500,74
400,73
400,65
600,81
600,82
600,82
900,57
1800,82
400,57
400,57
900,81
1400,74
500,65
500,73
800,82
1500,89
700,90
400,73
400,65
700,90
400,57
400,73
700,89
600,82
2500,73
600,90
800,97
700,82
600,82
700,89
700,81
400,73
400,65
600,82
400,65
400,73
700,82
400,57
300,57
600,81
1100,65
800,97
700,89
400,73
300,65
400,65
600,82
400,73
700,65
800,73
1400,82
500,65
400,65
400,65
400,65
900,89
1900,82
400,57
400,65
400,65
500,65
400,65
300,65
600,82
800,97
700,89
600,90
600,74
600,90
600,90
600,74
600,90
400,65
500,82
400,73
700,89
700,82
700,89
400,73
400,57
400,65
700,82
400,73
900,97
600,90
400,65
1000,89
400,73
400,81
400,65
300,57
800,97
500,73
400,73
700,81
400,73
600,66
400,65
400,81
400,65
300,57
600,66
700,97
600,82
600,89
700,89
600,98
800,89
800,66
500,73
300,65
500,81
1000,74
500,73
700,90
800,97
800,73
500,73
500,73
600,90
500,73
500,73
300,57
800,97
500,65
500,73
600,98
600,90
700,97
500,90
500,90
400,65
400,65
500,73
400,73
1200,97
800,89
800,97
600,82
600,82
600,82
700,90
800,97
1000,73
1100,89
800,73
600,73
400,65
400,73
400,65
1100,97
500,65
400,81
400,73
500,81
1800,73
500,81
400,73
500,73
600,81
600,73
1000,73
600,73
500,73
400,73
800,82
400,65
500,65
500,81
400,81
1800,57
400,65
400,65
400,73
500,65
700,82
300,65
1000,89
600,90
400,73
700,90
800,89
600,90
500,73
800,97
800,89
400,65
400,57
800,89
600,73
600,90
400,81
400,73
400,73
400,73
400,81
400,73
400,73
400,65
1500,82
800,97
400,81
700,90
400,73
500,73
400,73
600,98
400,65
400,65
3200,81
2100,82
600,65
500,65
500,73
3700,81
1100,82
500,65
600,81
500,65
900,82
500,73
400,73
800,81
500,81
1100,89
1200,89
600,73
