
1813400,26330,1892
411800,19925,1465
2024500,101694,6464
253100,13430,1032
495600,24290,1756
2496700,142140,8807
932300,36638,2546
2277700,103921,6595
1314300,52638,3546
1607900,85136,5490
1020100,57342,3840
1724900,99127,6313
140000,7360,599
1321700,71179,4669
685200,38702,2675
1062400,43550,2978
1075400,60878,4061
1471600,83776,5410
1615100,93228,5966
901200,50126,3389
1665800,64855,4297
1036100,55646,3734
1685400,96798,6176
1130200,63716,4230
2067800,119561,7515
240200,13016,1003
1103900,62781,4175
389600,20855,1527
70800,3581,315
2954200,155460,9547
25600,805,85
1564700,86479,5569
329800,22925,1665
2134500,137568,8553
237800,15170,1148
2019200,145092,8971
1505200,107984,6834
2199600,158376,9709
403100,27650,1980
2084200,146586,9054
804100,56318,3776
1081700,76415,4977
1540000,108834,6884
437500,30766,2179
1183400,84320,5442
1811700,123131,7725
511800,36350,2528
512700,36382,2530
1054000,74205,4847
1525000,109514,6924
1594400,114818,7236
23100,1314,131
2110400,110704,6994
132700,8816,703
798900,55598,3731
817400,57550,3853
1640700,118150,7432
1511900,108460,6862
1702400,122230,7672
1736000,124831,7825
203600,13212,1017
401200,28055,2007
2233200,160410,9822
1401800,99705,6347
716600,49950,3378
852100,54190,3643
1933300,138666,8614
547300,38222,2645
1500600,106981,6775
571300,40030,2758
337000,22535,1639
682600,47502,3225
1905900,137262,8536
538900,34990,2443
1213300,86326,5560
818200,57790,3868
726100,50910,3438
1422200,101745,6467
497300,34542,2415
1805900,130339,8149
495600,34846,2434
791500,54654,3672
725500,50126,3389
1010200,70754,4644
797000,55630,3733
1671600,119527,7513
2248800,161094,9860
1043500,73967,4833
1793000,128860,8062
954600,66368,4386
1453800,102799,6529
66600,2905,263
1382600,98940,6302
1355700,96815,6177
2167600,156180,9587
257600,17285,1289
964000,49486,3349
916100,63274,4204
856500,59886,3999
819100,57582,3855
